name,age,nationality,team,mascot,position,games_played,goals,assists,points
Jean-Gabriel Pageau,25,CAN,OTT,senators,C,82,12,21,33
Nick Paul,22,CAN,OTT,senators,LW/C,1,0,0,0
Dion Phaneuf,32,CAN,OTT,senators,D,81,9,21,30
Tom Pyatt,30,CAN,OTT,senators,LW/C,82,9,14,23
Buddy Robinson,26,USA,OTT,senators,RW,4,0,0,0
Bobby Ryan,30,USA,OTT,senators,RW/LW,62,13,12,25
Zack Smith,29,CAN,OTT,senators,C,74,16,16,32
Mark Stone,25,CAN,OTT,senators,RW,71,22,32,54
Kyle Turris,28,CAN,OTT,senators,C,78,27,28,55
Phil Varone,27,CAN,OTT,senators,C,7,0,0,0
Colin White,20,USA,OTT,senators,C/D,2,0,0,0
Chris Wideman,27,USA,OTT,senators,D,76,5,12,17
Tommy Wingels,29,USA,OTT/S.J,senators,C/RW/LW,73,7,5,12
Alex Burrows,36,CAN,OTT/VAN,senators,LW/RW,75,15,16,31
Pierre-Edouard Bellemare,32,FRA,PHI,flyers,LW/C,82,4,4,8
Nick Cousins,24,CAN,PHI,flyers,C/LW,60,6,10,16
Sean Couturier,25,USA,PHI,flyers,C,66,14,20,34
Michael Del Zotto,27,CAN,PHI,flyers,D,51,6,12,18
Claude Giroux,29,CAN,PHI,flyers,C/RW,82,14,44,58
Boyd Gordon,34,CAN,PHI,flyers,C/RW,13,1,0,1
Shayne Gostisbehere,24,USA,PHI,flyers,D,76,7,32,39
Radko Gudas,27,CZE,PHI,flyers,D,67,6,17,23
Robert Hagg,22,SWE,PHI,flyers,D,1,0,0,0
Travis Konecny,20,CAN,PHI,flyers,C/LW,70,11,17,28
Scott Laughton,23,CAN,PHI,flyers,C/LW,2,0,0,0
Taylor Leier,23,CAN,PHI,flyers,LW,10,1,1,2
David Pastrnak,21,CZE,BOS,bruins,RW/LW,75,34,36,70
Roman Lyubimov,25,RUS,PHI,flyers,LW,47,4,2,6
Andrew MacDonald,31,CAN,PHI,flyers,D,73,2,16,18
Brandon Manning,27,CAN,PHI,flyers,D,65,3,9,12
Colin McDonald,33,USA,PHI,flyers,RW/C,3,1,0,1
Samuel Morin,22,CAN,PHI,flyers,D,1,0,0,0
Ivan Provorov,20,RUS,PHI,flyers,D,82,6,24,30
Brendan Perlini,21,GBR,ARI,coyotes,LW,57,14,7,21
Michael Raffl,29,AUT,PHI,flyers,LW/C,52,8,3,11
Matt Read,31,CAN,PHI,flyers,RW/LW,63,10,9,19
Corey Perry,32,CAN,ANA,ducks,RW,82,19,34,53
Brayden Schenn,26,CAN,PHI,flyers,C/LW,79,25,30,55
Nick Schultz,35,CAN,PHI,flyers,D,28,0,4,4
Wayne Simmonds,29,CAN,PHI,flyers,RW/LW,82,31,23,54
Chris VandeVelde,30,USA,PHI,flyers,C/LW,81,6,9,15
Mike Vecchione,24,USA,PHI,flyers,C/RW,2,0,0,0
Jakub Voracek,28,CZE,PHI,flyers,RW,82,20,41,61
Jordan Weal,25,CAN,PHI,flyers,C/LW,23,8,4,12
Dale Weise,29,CAN,PHI,flyers,RW,64,8,7,15
Mark Streit,40,CHE,PHI/PIT,flyers,D,68,6,21,27
Valtteri Filppula,33,FIN,PHI/T.B,flyers,C/LW,79,12,30,42
Josh Archibald,25,CAN,PIT,penguins,RW,10,3,0,3
Nick Bonino,29,USA,PIT,penguins,C,80,18,19,37
Ian Cole,28,USA,PIT,penguins,D,81,5,21,26
Sidney Crosby,30,CAN,PIT,penguins,C,75,44,45,89
Matt Cullen,41,USA,PIT,penguins,C/LW,72,13,18,31
Trevor Daley,34,CAN,PIT,penguins,D,56,5,14,19
Jean-Sebastien Dea,23,CAN,PIT,penguins,C,1,0,0,0
Brian Dumoulin,26,USA,PIT,penguins,D,70,1,14,15
Cameron Gaunce,27,CAN,PIT,penguins,D,12,1,3,4
Jake Guentzel,23,USA,PIT,penguins,C/LW,40,16,17,33
Carl Hagelin,29,SWE,PIT,penguins,LW,61,6,16,22
Patric Hornqvist,30,SWE,PIT,penguins,RW,70,21,23,44
Phil Kessel,30,USA,PIT,penguins,RW/C,82,23,47,70
Tom Kuhnhackl,25,DEU,PIT,penguins,RW,57,4,12,16
Teemu Pulkkinen,25,FIN,ARI/MIN,coyotes,LW,13,2,0,2
Chris Kunitz,38,CAN,PIT,penguins,LW,71,9,20,29
Kris Letang,30,CAN,PIT,penguins,D,41,5,29,34
Olli Maatta,23,FIN,PIT,penguins,D,55,1,6,7
Evgeni Malkin,31,RUS,PIT,penguins,C/RW,62,33,39,72
Steve Oleksy,31,USA,PIT,penguins,D,11,0,1,1
Kevin Porter,31,USA,PIT,penguins,C,2,0,0,0
Derrick Pouliot,23,CAN,PIT,penguins,D,11,0,0,0
Carter Rowney,28,CAN,PIT,penguins,RW/C,27,3,4,7
Chad Ruhwedel,27,USA,PIT,penguins,D,34,2,8,10
Rickard Rakell,24,SWE,ANA,ducks,C/RW,71,33,18,51
Bryan Rust,25,USA,PIT,penguins,RW,57,15,13,28
Justin Schultz,27,CAN,PIT,penguins,D,78,12,39,51
Tom Sestito,30,USA,PIT,penguins,LW,13,0,2,2
Conor Sheary,25,USA,PIT,penguins,LW,61,23,30,53
Dominik Simon,23,CZE,PIT,penguins,C,2,0,1,1
Mason Raymond,32,CAN,ANA,ducks,LW,4,0,0,0
Oskar Sundqvist,23,SWE,PIT,penguins,C,10,0,0,0
David Warsofsky,27,USA,PIT,penguins,D,7,0,1,1
Scott Wilson,25,CAN,PIT,penguins,LW/C,78,8,18,26
Frank Corrado,24,CAN,PIT/TOR,penguins,D,4,0,0,0
Eric Fehr,32,CAN,PIT/TOR,penguins,C/RW,53,6,5,11
Mikkel Boedker,28,DNK,S.J,sharks,LW/RW,81,10,16,26
Justin Braun,30,USA,S.J,sharks,D,81,4,9,13
Brent Burns,32,CAN,S.J,sharks,D/RW,82,29,47,76
Ryan Carpenter,26,USA,S.J,sharks,C,11,2,2,4
Brad Richardson,32,CAN,ARI,coyotes,RW/C,16,5,4,9
Tobias Rieder,24,DEU,ARI,coyotes,RW/C,80,16,18,34
Logan Couture,28,CAN,S.J,sharks,C/LW,73,25,27,52
Dylan Demelo,24,CAN,S.J,sharks,D,25,1,7,8
Brenden Dillon,27,CAN,S.J,sharks,D,81,2,8,10
Nick Ritchie,22,CAN,ANA,ducks,LW,77,14,14,28
Joonas Donskoi,25,FIN,S.J,sharks,RW,61,6,11,17
Barclay Goodrow,24,CAN,S.J,sharks,RW/C,3,0,1,1
Micheal Haley,31,CAN,S.J,sharks,C,58,2,10,12
Tim Heed,26,SWE,S.J,sharks,D,1,0,0,0
Tomas Hertl,24,CZE,S.J,sharks,C/RW,49,10,12,22
Melker Karlsson,27,SWE,S.J,sharks,C/RW,67,11,11,22
Kevin Labanc,22,USA,S.J,sharks,RW,55,8,12,20
Patrick Marleau,38,CAN,S.J,sharks,LW/C,82,27,19,46
Paul Martin,36,USA,S.J,sharks,D,81,4,22,26
Timo Meier,21,CHE,S.J,sharks,RW,34,3,3,6
Mirco Mueller,22,CHE,S.J,sharks,D,4,1,1,2
Daniel O'Regan,23,DEU,S.J,sharks,C/LW,3,1,0,1
Joe Pavelski,33,USA,S.J,sharks,C/RW,81,29,39,68
David Schlemko,30,CAN,S.J,sharks,D,62,2,16,18
Marcus Sorensen,25,SWE,S.J,sharks,RW/LW,19,1,3,4
Joe Thornton,38,CAN,S.J,sharks,C,79,7,43,50
Chris Tierney,23,CAN,S.J,sharks,C,80,11,12,23
Marc-Edouard Vlasic,30,CAN,S.J,sharks,D,75,6,22,28
Joel Ward,37,CAN,S.J,sharks,RW/C,78,10,19,29
Nikolay Goldobin,22,RUS,S.J/VAN,sharks,RW/LW,14,3,0,3
Jannik Hansen,31,DNK,S.J/VAN,sharks,RW,43,8,12,20
Kenny Agostino,25,USA,STL,blues,LW,7,1,2,3
Tim Schaller,27,USA,BOS,bruins,C,59,7,7,14
Ivan Barbashev,22,RUS,STL,blues,C,30,5,7,12
Patrik Berglund,29,SWE,STL,blues,C/LW,82,23,11,34
Luke Schenn,28,CAN,ARI,coyotes,D,78,1,7,8
Robert Bortuzzo,28,CAN,STL,blues,D,38,1,3,4
Jay Bouwmeester,34,CAN,STL,blues,D,81,1,14,15
Kyle Brodziak,33,CAN,STL,blues,C,69,8,7,15
Chris Butler,31,USA,STL,blues,D,1,0,0,0
Joel Edmundson,24,CAN,STL,blues,D,69,3,12,15
Robby Fabbri,21,CAN,STL,blues,C/LW,51,11,18,29
Carl Gunnarsson,31,SWE,STL,blues,D,56,0,6,6
Dmitrij Jaskin,24,RUS,STL,blues,RW/LW,51,1,10,11
Jori Lehtera,30,FIN,STL,blues,C,64,7,15,22
Petteri Lindbohm,24,FIN,STL,blues,D,7,0,0,0
Wade Megan,27,USA,STL,blues,C,3,1,0,1
Magnus Paajarvi,26,SWE,STL,blues,LW,32,8,5,13
Colton Parayko,24,CAN,STL,blues,D,81,4,31,35
David Perron,29,CAN,STL,blues,LW/RW,82,18,28,46
Alex Pietrangelo,27,CAN,STL,blues,D,80,14,34,48
Ryan Reaves,30,CAN,STL,blues,RW,80,7,6,13
Jordan Schmaltz,24,USA,STL,blues,D,9,0,2,2
Jaden Schwartz,25,CAN,STL,blues,LW/C,78,19,36,55
Vladimir Sobotka,30,CZE,STL,blues,LW/C,1,1,0,1
Paul Stastny,32,CAN,STL,blues,C,66,18,22,40
Alex Steen,33,CAN,STL,blues,LW/C,76,16,35,51
Michael Sgarbossa,25,CAN,ANA/FLA,ducks,C,38,2,7,9
Vladimir Tarasenko,26,RUS,STL,blues,RW,82,39,36,75
Scottie Upshall,34,CAN,STL,blues,RW/LW,73,10,8,18
Nail Yakupov,24,RUS,STL,blues,RW/LW,40,3,6,9
Logan Shaw,25,CAN,ANA,ducks,C/RW,55,3,7,10
Zach Sanford,23,USA,STL/WSH,blues,LW,39,4,4,8
Kevin Shattenkirk,28,USA,STL/WSH,blues,D,80,13,43,56
Michael Bournival,25,CAN,T.B,lightning,LW,19,2,1,3
J.T. Brown,27,USA,T.B,lightning,RW,64,3,3,6
Ryan Callahan,32,USA,T.B,lightning,RW,18,2,2,4
Braydon Coburn,32,CAN,T.B,lightning,D,80,5,7,12
Cory Conacher,28,CAN,T.B,lightning,C/LW,11,1,3,4
Jakob Silfverberg,27,SWE,ANA,ducks,RW/LW,79,23,26,49
Erik Condra,31,USA,T.B,lightning,RW,13,0,0,0
Jake Dotchin,23,CAN,T.B,lightning,D,35,0,11,11
Jonathan Drouin,22,CAN,T.B,lightning,LW,73,21,32,53
Gabriel Dumont,27,CAN,T.B,lightning,C,39,2,2,4
Adam Erne,22,USA,T.B,lightning,LW,26,3,0,3
Jason Garrison,33,CAN,T.B,lightning,D,70,1,8,9
Yanni Gourde,26,CAN,T.B,lightning,C,20,6,2,8
Victor Hedman,27,SWE,T.B,lightning,D,79,16,56,72
Tyler Johnson,27,USA,T.B,lightning,C,66,19,26,45
Alex Killorn,28,CAN,T.B,lightning,LW/C,81,19,17,36
Slater Koekkoek,23,CAN,T.B,lightning,D,29,0,4,4
Nikita Kucherov,24,RUS,T.B,lightning,RW,74,40,45,85
Vladislav Namestnikov,25,RUS,T.B,lightning,C/LW,74,10,18,28
Ondrej Palat,26,CZE,T.B,lightning,LW,75,17,35,52
Cedric Paquette,24,CAN,T.B,lightning,C/LW,58,4,6,10
Matthew Peca,24,CAN,T.B,lightning,C,10,1,1,2
Brayden Point,21,CAN,T.B,lightning,C,68,18,22,40
Tanner Richard,24,CAN,T.B,lightning,C,3,0,0,0
Steven Stamkos,27,CAN,T.B,lightning,C,17,9,11,20
Anton Stralman,31,SWE,T.B,lightning,D,73,5,17,22
Andrej Sustr,27,CZE,T.B,lightning,D,80,3,11,14
Nick Sorensen,23,DNK,ANA,ducks,RW,5,0,1,1
Joel Vermin,25,CHE,T.B,lightning,RW,18,0,3,3
Luke Witkowski,27,USA,T.B,lightning,D,34,0,4,4
Brian Boyle,33,USA,T.B/TOR,lightning,C/LW,75,13,12,25
Ryan Spooner,25,CAN,BOS,bruins,C/LW,78,12,28,39
Byron Froese,26,CAN,T.B/TOR,lightning,C,6,0,0,0
Tyler Bozak,31,CAN,TOR,mapleleafs,C,78,18,37,55
Connor Brown,23,CAN,TOR,mapleleafs,RW,82,20,16,36
Connor Carrick,23,USA,TOR,mapleleafs,D,67,2,6,8
Jake Gardiner,27,USA,TOR,mapleleafs,D,82,9,34,43
Drew Stafford,32,USA,BOS/WPG,bruins,RW/LW,58,8,13,21
Frederik Gauthier,22,CAN,TOR,mapleleafs,C,21,2,1,3
Matt Hunwick,32,USA,TOR,mapleleafs,D,72,1,18,19
Zach Hyman,25,CAN,TOR,mapleleafs,C/RW/LW,82,10,18,28
Nazem Kadri,27,CAN,TOR,mapleleafs,C,82,32,29,61
Kasperi Kapanen,21,FIN,TOR,mapleleafs,RW,8,1,0,1
Leo Komarov,30,EST,TOR,mapleleafs,C/LW,82,14,18,32
Josh Leivo,24,CAN,TOR,mapleleafs,LW,13,2,8,10
Martin Marincin,25,SVK,TOR,mapleleafs,D,25,1,6,7
Mitchell Marner,20,CAN,TOR,mapleleafs,C/RW,77,19,42,61
Matt Martin,28,CAN,TOR,mapleleafs,LW/RW,82,5,4,9
Auston Matthews,20,USA,TOR,mapleleafs,C,82,40,29,69
Milan Michalek,33,CZE,TOR,mapleleafs,LW/RW,5,1,1,2
Michael Stone,27,CAN,ARI/CGY,coyotes,D,64,3,12,15
Clayton Stoner,32,CAN,ANA,ducks,D,14,1,2,3
William Nylander,21,CAN,TOR,mapleleafs,C/RW,81,22,39,61
Roman Polak,31,CZE,TOR,mapleleafs,D,75,4,7,11
Morgan Rielly,23,CAN,TOR,mapleleafs,D,76,6,21,27
Nikita Soshnikov,24,RUS,TOR,mapleleafs,RW,56,5,4,9
Dylan Strome,20,CAN,ARI,coyotes,C,7,0,1,1
James van Riemsdyk,28,USA,TOR,mapleleafs,LW,82,29,33,62
Nikita Zaitsev,26,RUS,TOR,mapleleafs,D,82,4,32,36
Sven Baertschi,25,CHE,VAN,canucks,LW,68,18,17,35
Alex Biega,29,CAN,VAN,canucks,D,36,0,3,3
Brock Boeser,20,USA,VAN,canucks,RW,9,4,1,5
Michael Chaput,25,CAN,VAN,canucks,C,68,4,5,9
Derek Dorsett,31,CAN,VAN,canucks,RW,14,1,3,4
Alex Edler,31,SWE,VAN,canucks,D,68,6,15,21
Loui Eriksson,32,SWE,VAN,canucks,LW/C,65,11,13,24
Brendan Gaunce,23,CAN,VAN,canucks,C/LW,57,0,5,5
Markus Granlund,24,FIN,VAN,canucks,C,69,19,13,32
Alex Grenier,26,CAN,VAN,canucks,RW,3,0,0,0
Erik Gudbranson,25,CAN,VAN,canucks,D,30,1,5,6
Bo Horvat,22,CAN,VAN,canucks,C,81,20,32,52
Ben Hutton,24,CAN,VAN,canucks,D,71,5,14,19
Joseph Labate,24,USA,VAN,canucks,C,13,0,0,0
Shea Theodore,22,CAN,ANA,ducks,D,34,2,7,9
Nate Thompson,33,USA,ANA,ducks,C,30,1,1,2
Philip Larsen,28,DNK,VAN,canucks,D,26,1,5,6
Evan McEneny,23,CAN,VAN,canucks,D,1,0,0,0
Jayson Megna,27,USA,VAN,canucks,C,58,4,4,8
Griffen Molino,23,USA,VAN,canucks,C,5,0,0,0
Borna Rendulic,25,HRV,VAN,canucks,RW/C,1,0,0,0
Anton Rodin,27,SWE,VAN,canucks,RW,3,0,1,1
Luca Sbisa,27,ITA,VAN,canucks,D,82,2,11,13
Daniel Sedin,37,SWE,VAN,canucks,LW,82,15,29,44
Henrik Sedin,37,SWE,VAN,canucks,C,82,15,35,50
Drew Shore,26,USA,VAN,canucks,C,14,0,2,2
Jack Skille,30,USA,VAN,canucks,RW,55,5,4,9
Troy Stecher,23,CAN,VAN,canucks,D,71,3,21,24
Corey Tropp,28,USA,ANA,ducks,RW/LW,1,0,0,0
Brandon Sutter,28,USA,VAN,canucks,C,81,17,17,34
Chris Tanev,28,CAN,VAN,canucks,D,53,2,8,10
Nikita Tryamkin,23,RUS,VAN,canucks,D,66,2,7,9
Jake Virtanen,21,CAN,VAN,canucks,RW,10,0,1,1
Michael Zalewski,25,USA,VAN,canucks,LW/C,1,0,0,0
Joel Armia,24,FIN,WPG,jets,RW,57,10,9,19
Dustin Byfuglien,32,USA,WPG,jets,D/RW,80,13,39,52
Ben Chiarot,26,CAN,WPG,jets,D,59,2,10,12
Kyle Connor,21,USA,WPG,jets,LW,20,2,3,5
Andrew Copp,23,USA,WPG,jets,C,64,9,8,17
Marko Dano,23,AUT,WPG,jets,C/LW/RW,38,4,7,11
Nikolaj Ehlers,21,DNK,WPG,jets,LW,82,25,39,64
Sami Vatanen,26,FIN,ANA,ducks,D,71,3,21,24
Frank Vatrano,23,USA,BOS,bruins,C/LW,44,10,8,18
Tobias Enstrom,33,SWE,WPG,jets,D,60,1,13,14
Antoine Vermette,35,CAN,ANA,ducks,C/LW,72,9,19,28
Quinton Howden,25,CAN,WPG,jets,C/LW/C,5,0,0,0
Patrik Laine,19,FIN,WPG,jets,RW,73,36,28,64
Bryan Little,30,CAN,WPG,jets,C/RW,59,21,26,47
Adam Lowry,24,USA,WPG,jets,C/LW,82,15,14,29
Shawn Matthias,29,CAN,WPG,jets,LW/C,45,8,4,12
Julian Melchiori,26,CAN,WPG,jets,D,18,0,2,2
Josh Morrissey,22,CAN,WPG,jets,D,82,6,14,20
Tyler Myers,27,USA,WPG,jets,D,11,2,3,5
Radim Vrbata,36,CZE,ARI,coyotes,RW,81,20,35,55
Chris Wagner,26,USA,ANA,ducks,C/RW,43,6,1,7
Nelson Nogier,21,CAN,WPG,jets,D,10,0,0,0
Mathieu Perreault,29,CAN,WPG,jets,C/LW,65,13,32,45
Nic Petan,22,CAN,WPG,jets,LW/C,54,1,12,13
Paul Postma,28,CAN,WPG,jets,D,65,1,13,14
Jack Roslovic,20,USA,WPG,jets,C,1,0,0,0
Mark Scheifele,24,CAN,WPG,jets,C,79,32,50,82
Brian Strait,29,USA,WPG,jets,D,5,0,2,2
Mark Stuart,33,USA,WPG,jets,D,42,2,2,4
Brandon Tanev,26,CAN,WPG,jets,LW/C/RW,51,2,2,4
Chris Thorburn,34,CAN,WPG,jets,RW/LW,64,3,1,4
Jacob Trouba,23,USA,WPG,jets,D,60,8,25,33
Blake Wheeler,31,USA,WPG,jets,RW,82,26,48,74
Karl Alzner,29,CAN,WSH,capitals,D,82,3,10,13
Ryan White,29,CAN,ARI/MIN,coyotes,C,65,9,7,16
Nicklas Backstrom,30,SWE,WSH,capitals,C,82,23,63,86
Riley Barber,23,USA,WSH,capitals,RW,3,0,0,0
Jay Beagle,32,CAN,WSH,capitals,C/RW,81,13,17,30
Andre Burakovsky,22,AUT,WSH,capitals,LW/C,64,12,23,35
Paul Carey,29,USA,WSH,capitals,C,6,0,0,0
John Carlson,27,USA,WSH,capitals,D,72,9,28,37
Taylor Chorney,30,CAN,WSH,capitals,D,18,1,4,5
Brett Connolly,25,CAN,WSH,capitals,RW/LW,66,15,8,23
Lars Eller,28,DNK,WSH,capitals,C/LW/RW,81,12,13,25
Marcus Johansson,27,SWE,WSH,capitals,LW/C/RW,82,24,34,58
Evgeny Kuznetsov,25,RUS,WSH,capitals,C/LW,82,19,40,59
Garrett Mitchell,26,CAN,WSH,capitals,RW,1,0,0,0
Aaron Ness,27,USA,WSH,capitals,D,2,0,0,0
Matt Niskanen,31,USA,WSH,capitals,D,78,5,34,39
Liam O'Brien,23,CAN,WSH,capitals,C/LW,1,0,0,0
Dmitry Orlov,26,RUS,WSH,capitals,D,82,6,27,33
Brooks Orpik,37,USA,WSH,capitals,D,79,0,14,14
T.J. Oshie,31,USA,WSH,capitals,RW/C,68,33,23,56
Alex Ovechkin,32,RUS,WSH,capitals,LW/RW,82,33,36,69
Nate Schmidt,26,USA,WSH,capitals,D,60,3,14,17
Chandler Stephenson,23,CAN,WSH,capitals,C,4,0,0,0
Jakub Vrana,21,CZE,WSH,capitals,LW,21,3,3,6
Justin Williams,36,CAN,WSH,capitals,RW,80,24,24,48
Tom Wilson,23,CAN,WSH,capitals,RW,82,7,12,19
Daniel Winnik,32,CAN,WSH,capitals,LW/C,72,12,13,25
